,vehicle_lane,lon,lat,timestep,vehicle_type,vehicle_noise,vehicle_CO,vehicle_CO2,vehicle_HC,vehicle_NOx,vehicle_PMx,amount
97,-101154827,24.92771090737302,60.16258061095071,48,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,-101154827,24.92771090737302,60.16258061095071,49,electric,67.94052433168191,0.0,0.0,0.0,0.0,0.37,7.0
99,-101154827,24.92771090737302,60.16258061095071,49,fuel,73.1405217471926,2020.54,35118.03,433.02,302.56,3.37,16.0
100,-101154827,24.92771090737302,60.16258061095071,50,electric,72.544133930019,0.0,0.0,0.0,0.0,2.53,14.0
101,-101154827,24.92771090737302,60.16258061095071,50,fuel,73.2350345264767,2049.52,35399.41,434.07,308.17,3.44,16.0
102,-101154827,24.92771090737302,60.16258061095071,51,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,-101154827,24.92771090737302,60.16258061095071,51,fuel,72.74951574207243,2197.04,36308.82,518.69,268.54,3.2800000000000002,18.0
104,-101154827,24.92771090737302,60.16258061095071,52,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,-101154827,24.92771090737302,60.16258061095071,52,fuel,76.05427191469147,3865.07,67428.45999999999,912.12,495.96,5.62,35.0
106,-101154827,24.92771090737302,60.16258061095071,53,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,-101154827,24.92771090737302,60.16258061095071,53,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,-101154827,24.92771090737302,60.16258061095071,54,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,-101154827,24.92771090737302,60.16258061095071,54,fuel,76.3514869816392,5125.67,90979.12,1233.06,658.14,7.08,40.0
110,-101154827,24.92771090737302,60.16258061095071,55,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,-101154827,24.92771090737302,60.16258061095071,55,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,-101154827,24.92771090737302,60.16258061095071,56,electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,-101154827,24.92771090737302,60.16258061095071,56,fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0
