#{"t_start": 1702421561.7441263, "env_id": "sumo-rl-rs-v0"}
r,l,t
20646.06,3000,6629.741895
21065.08,3000,6642.439019
20063.66,3000,6655.244266
21019.42,3000,6668.143037
20585.48,3000,6680.953086
20292.63,3000,6693.488334
20846.95,3000,6706.509716
20674.95,3000,6719.284268
20563.18,3000,6732.027379
20788.94,3000,6744.976567
20531.17,3000,6757.853837
20401.45,3000,6770.608101
20242.67,3000,6783.322906
20561.25,3000,6796.083401
20736.96,3000,6808.968631
20998.44,3000,6821.698641
20992.37,3000,6834.691546
20872.66,3000,6847.611421
19754.43,3000,6860.641087
20735.56,3000,6873.406313
21368.0,3000,6886.195204
19925.88,3000,6898.968729
20539.03,3000,6911.798095
21163.76,3000,6924.52303
20864.53,3000,6937.313581
21400.1,3000,6949.948507
20729.22,3000,6962.993989
20443.47,3000,6975.810807
20785.68,3000,6988.628887
21394.61,3000,7001.59956
20770.88,3000,7014.337445
20225.42,3000,7027.182412
20776.49,3000,7039.913333
20761.4,3000,7052.675635
20947.19,3000,7065.514887
20629.16,3000,7078.294466
20862.96,3000,7091.14157
20130.92,3000,7103.9699
20566.21,3000,7116.678476
20880.0,3000,7129.548031
20973.41,3000,7142.346615
20351.77,3000,7155.210442
19607.48,3000,7168.074993
20715.62,3000,7180.817129
20914.13,3000,7193.676242
20544.86,3000,7206.512492
20585.01,3000,7219.205224
20396.39,3000,7231.85778
19991.47,3000,7244.58709
20625.85,3000,7257.528109
20654.12,3000,7270.192862
21024.03,3000,7283.056876
21009.11,3000,7295.894564
21211.14,3000,7308.752846
20842.2,3000,7321.488592
20657.72,3000,7334.169471
20766.72,3000,7347.114036
20784.24,3000,7359.906952
20618.32,3000,7372.72145
20913.32,3000,7385.545855
21257.55,3000,7398.329627
20935.36,3000,7411.316395
20935.58,3000,7424.256564
20715.27,3000,7437.165287
20150.05,3000,7450.0886
20825.39,3000,7463.195165
21327.6,3000,7475.993426
20006.57,3000,7488.76939
21029.52,3000,7501.659831
19999.76,3000,7514.543967
20594.71,3000,7527.341404
20326.74,3000,7540.102008
20827.37,3000,7552.75359
20968.62,3000,7565.585718
20753.96,3000,7578.390762
20854.31,3000,7591.086101
21077.59,3000,7603.798711
20832.16,3000,7616.737802
20403.45,3000,7629.5666
20550.61,3000,7642.91044
20636.59,3000,7656.096807
20786.47,3000,7668.956911
19904.83,3000,7682.119226
20832.22,3000,7695.449206
21081.06,3000,7708.268745
20801.94,3000,7720.981467
21356.58,3000,7733.886728
20286.69,3000,7746.738221
20735.86,3000,7759.724936
21001.24,3000,7772.59178
20602.09,3000,7785.584023
21238.15,3000,7799.241498
20780.34,3000,7812.187178
20558.44,3000,7825.92044
21019.66,3000,7839.090117
19887.27,3000,7852.91057
20702.53,3000,7865.876714
19801.6,3000,7878.807462
20583.23,3000,7891.669986
20746.43,3000,7904.591657
20487.39,3000,7917.540387
20180.65,3000,7930.475387
20564.51,3000,7943.418549
21147.29,3000,7956.466276
20579.58,3000,7969.283847
20512.77,3000,7982.198832
20311.67,3000,7995.052187
21509.81,3000,8008.135343
20174.13,3000,8020.997469
21139.28,3000,8033.901735
20359.82,3000,8046.837548
20213.22,3000,8059.863309
